,Address,Beds,Bath,Size Sqft,Lot Size,Agent Name,Agent Company,Price,Walk Score,Transit Score,Bike Score
801,"1020 Polk AVE, Sunnyvale, Santa Clara County, CA, 94086",3,3,"1,800",0.074 ac,Leanna Scott ,KW Silicon City,"$2,285,000 USD",71,40,88
802,"1225 Vienna Dr. #990, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,120",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$249,000 USD",45,43,82
803,"248 Red Oak Drive Unit C, Sunnyvale, Santa Clara County, CA, 94086",2,1,926,NA,Dexter Lat ,Realty World One Alliance,"$724,888 USD",51,35,79
804,"1360 Road Runner TER D, Sunnyvale, Santa Clara County, CA, 94087",2,2,"1,212",NA,Fran Papapietro ,Christie's International Real Estate Sereno,"$1,048,900 USD",76,42,62
805,"440 San Eduardo TER, Sunnyvale, Santa Clara County, CA, 94085",3,4,"1,691",NA,Dedy Efendi ,Action Properties Inc,"$1,448,000 USD",71,38,81
806,"311 W Duane AVE, Sunnyvale, Santa Clara County, CA, 94085",5,4,"2,372",0.125 ac,Gene Au ,Realty World Dominion,"$2,398,000 USD",71,41,80
807,"1509 Harrison CT, Sunnyvale, Santa Clara County, CA, 94087",6,4,"2,352",0.199 ac,Tim Proschold ,Christie's International Real Estate Sereno,"$3,498,000 USD",32,28,52
808,"564 Madrone AVE, Sunnyvale, Santa Clara County, CA, 94085",3,3,"1,022",0.126 ac,Donna L. Zehner ,Realty World Trademark Prop.,"$1,199,888 USD",81,42,81
809,"691 Lakehaven DR, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,144",0.192 ac,Juliana Espinosa ,Realty ONE Group Future,"$1,640,000 USD",42,41,73
810,"1220 Vienna Drive 556, Sunnyvale, Santa Clara County, CA, 94089",3,3,NA,NA,Jonathan Minerick ,HOMECOIN.COM,"$399,000 USD",59,43,72
811,"1050 Borregas Ave. #113, Sunnyvale, Santa Clara County, CA, 94089",3,3,"1,580",NA,Alliance Manufactured Homes ,Alliance Manufactured Homes,"$199,000 USD",46,39,72
812,"1085 Tasman DR 140, Sunnyvale, Santa Clara County, CA, 94089",3,2,"1,260",NA,Garfield Small ,Intero Real Estate Services,"$285,000 USD",53,43,73
